timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1655751328229,16397,13984,53,1356,67ed601f-fb2b-460d-b535-c3be6c933f4e
1655751710038,52693,48783,1352,1452,34e27070-ce0d-4bbc-84c9-bb25e3261d1d
1655752127483,75477,70591,1387,1417,f1a338b0-4c63-4696-b35e-22d9a71bfcdc
1655752555618,95097,88945,1408,1446,fecbba01-dfbb-4bfb-b0d9-eddfb6534f6b
1655753021731,129565,121460,1429,1451,0da1884a-e002-4491-9ac5-fe03f65ffc25
1655753486639,138850,129674,1438,1513,f6e082bd-5769-42b4-af9a-0a0938d9f4d3
1655753986984,158377,147720,1505,1552,a0a5e348-00f8-46c1-bbf4-658b4ebaf31b
1655754519686,196459,183385,1568,1618,1d2b2463-0dea-43a4-bf3a-1aba068b5b34
