timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1655880601866,12658,10796,49,1115,446994ec-8623-4d4f-b915-137177c5ef7f
1655880781086,44588,40760,1121,1464,02bba605-c102-4c2e-b979-677cf0ed672e
1655880989075,78355,72720,1449,1570,916d267b-2377-4660-bc6e-cec70f7c6800
1655881216740,104792,97166,1610,1772,24490db0-b7d0-4cc4-9d31-0a4b1bc4a448
1655881492928,146779,136205,1785,1981,36f872f2-5b87-415e-bdde-000db317b374
1655881794590,177242,164579,1966,1903,446994ec-8623-4d4f-b915-137177c5ef7f
1655882124436,205897,190795,1915,1984,02bba605-c102-4c2e-b979-677cf0ed672e
1655882534758,282001,261925,2056,2149,916d267b-2377-4660-bc6e-cec70f7c6800
1655882967241,297261,276852,2176,2155,24490db0-b7d0-4cc4-9d31-0a4b1bc4a448
1655883405006,310638,288798,2098,2012,36f872f2-5b87-415e-bdde-000db317b374
1655883922965,381392,354186,2165,2279,446994ec-8623-4d4f-b915-137177c5ef7f
