timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1655851946857,5038,4085,31,476,916d267b-2377-4660-bc6e-cec70f7c6800
1655852165113,23287,20690,539,1213,24490db0-b7d0-4cc4-9d31-0a4b1bc4a448
1655852411646,49810,46020,1256,1291,36f872f2-5b87-415e-bdde-000db317b374
1655852674785,72938,67654,1368,1398,446994ec-8623-4d4f-b915-137177c5ef7f
1655852966193,94338,87488,1440,1400,02bba605-c102-4c2e-b979-677cf0ed672e
1655853273584,111714,103442,1394,1423,916d267b-2377-4660-bc6e-cec70f7c6800
1655853603054,131175,121581,1515,1352,24490db0-b7d0-4cc4-9d31-0a4b1bc4a448
1655853942940,141049,130463,1350,1372,36f872f2-5b87-415e-bdde-000db317b374
1655854312082,170180,157408,1450,1443,446994ec-8623-4d4f-b915-137177c5ef7f
1655854694281,182370,168872,1444,1363,02bba605-c102-4c2e-b979-677cf0ed672e
1655855086968,195046,180509,1415,1373,916d267b-2377-4660-bc6e-cec70f7c6800
1655855495536,213605,197963,1490,1403,24490db0-b7d0-4cc4-9d31-0a4b1bc4a448
