timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1656431696885,10947,9294,50,1020,adc6d498-c61d-43c4-820b-38f109750e39
1656432036953,41759,38024,1054,1584,1c869323-7a91-4dc6-a23e-0cf5a25886e7
1656432403804,72330,66282,1372,1808,59bb4694-2fe9-4b17-97d2-4bb9a8ef4bbc
1656432822313,121341,110226,1611,2359,d097a776-9b5f-4425-9c2c-43ca0b0e081e
1656433309265,189040,172714,2035,2763,42ede905-589b-4e8c-bfce-44fad54c3932
1656433891435,294951,271751,2489,2922,adc6d498-c61d-43c4-820b-38f109750e39
1656434530374,344625,318060,2726,3304,1c869323-7a91-4dc6-a23e-0cf5a25886e7
1656435259591,437585,404657,3090,3568,59bb4694-2fe9-4b17-97d2-4bb9a8ef4bbc
