timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1656412228785,13635,11752,52,1182,83194da2-b6e5-4a87-bcde-5290808ce8f0
1656412574376,52642,48119,1182,1824,419f2723-ea10-4fa7-8371-b63f606d6515
1656412956620,88592,81049,1628,1983,3e10a616-db30-49e2-99c9-9e9f2af5c5e1
1656413373144,131815,120354,1788,2383,2a1c4c5e-c867-4288-8d61-8a5f477ada55
1656413869431,201805,184812,2146,2796,224af334-4d8c-4567-8af0-f44b96d6f497
1656414437306,273360,251521,2561,2914,f4385ecb-298b-41c9-8b92-e082bb4e0859
1656415082509,349258,321902,2779,3253,85c892bd-65a3-4233-bd60-85395de1137c
1656415804484,437709,406180,3104,3306,b4fa8eb5-e943-42cd-a0a6-739492844233
