timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1656506327056,11823,10010,46,1065,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656506580213,45781,41888,1129,1654,a8edef97-796c-4daa-b5f6-125486dd61fb
1656506857511,76405,70313,1508,1775,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656507181381,121079,110831,1662,2168,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656507572988,180475,165537,2050,2531,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656508053132,268402,247215,2487,2868,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656508591069,337143,312179,2813,3029,a8edef97-796c-4daa-b5f6-125486dd61fb
1656509201331,408199,378798,2997,3097,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656509887929,488595,454049,3086,3209,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
