timestamp,cpuUsage,memoryUsage
1656364185410,0.019010402180564056,0.18719068751376566
1656364245416,0.15685834816610839,0.5780562791760252
1656364305423,0.10762990418910413,0.9298048358611485
1656364392388,0.0997303024465421,0.5360673581316171
1656364452392,0.12173560874787029,0.9301916742427476
1656364512395,0.11068532092193639,0.49041167358197335
1656364632397,0.09620780161100552,0.8633068832573427
1656364692404,0.14067440884287113,0.48914550791315164
1656364752408,0.1068641547889939,0.8278428055051135
1656364905414,0.10137671405277039,0.48475607486421163
1656364965418,0.004102578366200317,0.4849078906354626
1656365025423,0.004074594278880251,0.4850539192839786
1656365085428,0.003921132400789788,0.4850982318939164
1656365145432,0.003726259002808598,0.4851342699998133
1656365205437,0.003712406668427858,0.4851746264411017
1656365265442,0.0038925110867056847,0.4852147439529422
1656365325447,0.003615228454628883,0.48525446157233804
1656365385452,0.0045328142380422695,0.48563637897723466
1656365445457,0.008514545682207105,0.49096599709011096
1656365505461,0.004630273366890069,0.4923670190119834
