timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1655732683153,15354,13274,54,1255,f6e082bd-5769-42b4-af9a-0a0938d9f4d3
1655733008807,46752,43485,1238,1280,0da1884a-e002-4491-9ac5-fe03f65ffc25
1655733400998,60540,56554,1212,1257,f6e082bd-5769-42b4-af9a-0a0938d9f4d3
1655733886559,75453,70639,1162,1171,0da1884a-e002-4491-9ac5-fe03f65ffc25
1655734406069,90291,84200,1215,1257,f6e082bd-5769-42b4-af9a-0a0938d9f4d3
1655734959491,107003,99985,1199,1249,0da1884a-e002-4491-9ac5-fe03f65ffc25
1655735572179,118848,110744,1263,1235,f6e082bd-5769-42b4-af9a-0a0938d9f4d3
1655736225831,137599,128622,1237,1245,0da1884a-e002-4491-9ac5-fe03f65ffc25
