timestamp,cpuUsage,memoryUsage
1656358459787,0.19482533463924256,0.16760993927249876
1656358519795,0.40890637599755303,0.6763275780466168
1656358579802,0.4105248522766771,0.3858872888151602
1656358639809,0.4068371788987636,0.8393458659682885
1656358870082,0.17075766814719667,0.32195520669714883
1656358930086,0.4273823111828735,0.7632014954012204
1656359053283,0.24288714655213167,0.2644543978820289
1656359113287,0.004059502293896844,0.2644970315323543
1656359173292,0.0037119937716359186,0.26454446912769247
1656359233296,0.003684342240636209,0.2645842596268879
1656359293300,0.003850377392585591,0.26462555067806864
