timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1656441507470,12594,10523,47,1114,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656441751115,46233,42122,1189,1596,a8edef97-796c-4daa-b5f6-125486dd61fb
1656442026876,81990,75477,1573,1799,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656442345159,120259,111023,1800,2055,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656442716769,171865,158504,2069,2255,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656443141495,226589,209577,2288,2496,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656443603158,268243,248877,2485,2371,a8edef97-796c-4daa-b5f6-125486dd61fb
1656444116029,321100,297422,2426,2604,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656444686792,371855,343984,2595,2598,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656445373811,488857,454025,2638,2743,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
