timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1656449493918,19754,17553,273,1565,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656449789192,62919,58741,1919,1750,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656450115262,89872,83388,2062,1934,a8edef97-796c-4daa-b5f6-125486dd61fb
1656450484489,139993,130216,2240,2307,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656450902410,175788,163582,2406,2443,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656451377687,241951,226034,2561,2463,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656451865864,254025,237257,2618,2477,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656452363310,262346,244692,2588,2385,a8edef97-796c-4daa-b5f6-125486dd61fb
1656452900657,300584,280739,2530,2491,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
