timestamp,applicationTime,databaseTime,numberOfSellOffers,numberOfBuyOffers,replicaId
1656445567019,2055,1695,8,193,a8edef97-796c-4daa-b5f6-125486dd61fb
1656445782492,17520,15108,256,1290,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656446021297,46319,42804,1296,1407,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656446291873,76887,71523,1438,1464,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656446571000,86002,79792,1477,1487,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656446870891,105887,98111,1557,1512,a8edef97-796c-4daa-b5f6-125486dd61fb
1656447193537,128524,118974,1574,1596,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
1656447526826,141803,131305,1579,1481,4bb4b18c-0efb-4e55-aca7-ae5f25a0df18
1656447910835,185805,172508,1592,1575,1e8dc444-5d99-480d-a6fc-69a3b27c8d46
1656448293317,188275,174805,1610,1599,d6a8d9f1-1b46-451b-b72c-427ca5c8b528
1656448662348,177300,164068,1523,1405,a8edef97-796c-4daa-b5f6-125486dd61fb
1656449060680,205622,190039,1583,1595,8ae4192f-e1a7-4cf6-96f5-20564a07fd6e
